ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2434,Off grid Solar PV project at IAMGOLD Essakane SA Gold Mine,Essakane Solar S.A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.A.,Registered,Burkina Faso,"27,179",Africa,2021-12-07,2018-06-01,2025-05-31
2422,Distribution of Improved cook stove - Phase I,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,644",Asia,2022-12-07,,
2423,Distribution of Improved cook stove - Phase II,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,644",Asia,2023-02-21,,
2424,Distribution of Improved cook stove - Phase III,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,125",Asia,2022-12-08,,
2428,Distribution of Improved cook stove - Phase 14,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,050",Asia,2022-12-07,,
2429,Distribution of Improved cook stove- Phase 15,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,843",Asia,2023-07-31,,
2430,Distribution of Improved cook stove - Phase 16,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-11-07,,
2427,Distribution of Improved cook stove - Phase VI,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,990",Asia,2021-11-09,,
2425,Distribution of Improved cook stove - Phase IV,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,909",Asia,2022-09-30,,
2426,Distribution of improved cook stove- phase V,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,062",Asia,2022-09-30,,
2418,Gansu Lanzhou Afforestation Project,Lanzhou Landscaping And Greening Service Center,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,"117,640",Asia,2021-12-23,2016-09-13,2076-09-12
2415,Distribution of Improved cook stove - Phase 11,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,428",Asia,2021-11-26,,
2416,Distribution of Improved cook stove - Phase 12,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,930",Asia,2022-12-13,,
2417,Distribution of Improved cook stove - Phase 13,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,420",Asia,2022-12-07,,
2413,Zhangjiakou Zhangbei County 2017 Afforestation Project,"Zhangjiakou Sailin Landscaping Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,"145,879",Asia,2023-03-06,2017-05-12,2037-05-11
2412,Mindanao Tree Planting Program for our Climate and Communities (MinTrees),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Philippines,"33,015",Asia,2022-09-28,2015-03-15,2065-03-14
2410,"REFORESTATION OF DEGRADED FOREST RESERVE AREAS IN GHANA, WEST AFRICA",Miro Forestry Developments Limited,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Ghana,"46,229",Africa,2022-03-01,2016-03-24,2046-03-23
2409,Cleaner Cooking Solutions Program,C-Quest Capital SGT Asia Stoves Private Limited,Energy demand; Energy industries (renewable/non-renewable sources),,VMR0006,Registered,Cambodia,"841,424",Asia,2022-11-14,2022-02-21,2032-02-20
